Date,Close,High,Low,Open,Volume,simple_return,log_return
2023-03-24,379.85400390625,379.94038538264834,373.7590569871103,376.10105243097433,107682400,0.006561828471541187,0.006540393392873298
2023-03-27,380.564208984375,382.8966256334002,379.67157124890343,382.1287415933862,74010400,0.0018696790630652327,0.0018679333887276252
2023-03-28,379.7099914550781,380.564227707631,377.8767066648121,379.87314668350865,62871700,-0.0022446081610684177,-0.0022471310699684077
2023-03-29,385.22906494140625,385.4690232440617,382.6662973806607,383.8660888939379,77497900,0.014534970399853409,0.014430350266129955
2023-03-30,387.4847106933594,388.10859647318574,385.62263176835995,387.8590304445402,69840000,0.005855336362785124,0.005838260504994933
2023-03-31,392.9461364746094,393.24368242982905,388.30051790737826,388.4061147934353,112062600,0.014094558134893687,0.013996153419752631
2023-04-03,394.4434814453125,394.84659500245755,392.03429064106433,392.4278257842298,67391100,0.0038105603585694148,0.0038033185644785698
2023-04-04,392.2550354003906,395.3744932102715,390.8824517022873,395.0865256835199,66601500,-0.005548186617010398,-0.005563634971110478
2023-04-05,391.2279968261719,392.2838191469049,389.577082640603,391.52554275858984,65200200,-0.002618292900103625,-0.002621726623931731
2023-04-06,392.7541809082031,393.0325407601975,389.3851567329968,390.4313714897771,63743300,0.0039010093715490246,0.0038934201651312566
2023-04-10,393.1572265625,393.23402961478297,389.66344926995697,390.2777272293107,63681000,0.001026203345219301,0.0010256771585186984
2023-04-11,393.2629089355469,394.6642573806665,392.4950539964702,393.7812271299072,59297900,0.0002688043507959037,0.00026876822937931796
2023-04-12,391.659912109375,395.61444936283374,391.0744279375137,395.3264818376402,86420400,-0.004076145473547843,-0.004084475598749272
2023-04-13,396.86224365234375,397.21737725795947,391.60234704835096,392.7445509263928,85814800,0.013282777690855285,0.01319533506879544
2023-04-14,395.89276123046875,398.41712702758065,393.5891675964206,396.22870868146754,78161500,-0.002442868872969073,-0.002445857545416401
2023-04-17,397.3133239746094,397.3325100919648,394.5777937246766,395.80637894641507,66436400,0.0035882513732390375,0.003581828958188111
2023-04-18,397.57244873046875,399.0218060432113,396.199894466918,398.887415353016,63560000,0.0006521924642928223,0.0006519798792134848
2023-04-19,397.5052795410156,398.40749567354555,395.6047995275526,395.66238716810176,55227300,-0.00016894830028491015,-0.00016896257365665862
2023-04-20,395.33612060546875,397.08302413683805,393.79077385332334,394.69301944461137,75840400,-0.005456931133220433,-0.0054718745702483345
2023-04-21,395.6432189941406,396.10392013942635,393.6947589557848,395.63361128968654,73457400,0.0007768032635153688,0.0007765017080163569
2023-04-24,396.0559387207031,396.4782676301581,394.10747868962846,395.4416314735753,64332100,0.0010431613806292095,0.0010426176658848217
2023-04-25,389.76904296875,394.6450119030647,389.7114553215701,394.088292257947,97766700,-0.01587375705628946,-0.01600109448456726
2023-04-26,388.1181335449219,391.4583635816679,387.56144318468967,390.3833550986097,80447000,-0.004235609404106722,-0.004244605007847455
2023-04-27,395.8447570800781,396.1135091660831,390.4024907237528,390.65205669353617,92968400,0.019907916861766406,0.019712345634409604
2023-04-28,399.223388671875,399.2329963765921,394.904139565875,394.9617272106124,89433100,0.008535244010099197,0.008499024762429879
2023-05-01,398.8202819824219,400.845515871164,398.5899021077479,398.781880454679,62122300,-0.0010097271374659433,-0.0010102372553274857
2023-05-02,394.33782958984375,398.1579758951747,391.4391441559721,398.1099666648256,103998500,-0.011239278931094332,-0.011302916905804115
2023-05-03,391.6311340332031,397.24616414474065,391.39117573178515,394.83697342513307,91531800,-0.006863900324896255,-0.006887565239978403
2023-05-04,388.8572692871094,390.91129731617235,387.5230869408355,390.58495750937874,94901900,-0.007082850430013554,-0.007108052889126321
2023-05-05,396.0559387207031,397.10215328992234,392.2262140059175,392.4853583991723,87891800,0.01851236945316992,0.01834310138581174
2023-05-08,396.16156005859375,396.64147667611564,394.76021173712985,396.3823322476967,50046800,0.0002666828787665221,0.0002666473252084848
2023-05-09,394.42431640625,395.53772662115546,394.19396577274875,394.6162947953608,49220100,-0.004385189850541815,-0.004394832997233328
2023-05-10,396.26708984375,397.8892100796329,392.4469436701226,397.2557167367632,96142900,0.004672058392064082,0.004661178202680057
2023-05-11,395.5760192871094,395.86395749973974,393.502776280826,395.40325635953116,70157100,-0.0017439514265823464,-0.001745473880185722
2023-05-12,395.0577392578125,397.0254148728848,392.63897016343816,396.8142503993596,70481500,-0.0013101907194245088,-0.0013110497697136013
2023-05-15,396.4206848144531,396.8237983199805,393.75234992228525,395.66240845072787,54289400,0.0034499907765410676,0.003444053210807649
2023-05-16,393.7715148925781,396.23829289950714,393.76190718855895,395.31683206708055,57705500,-0.0066827237411059,-0.006705153121488541
2023-05-17,398.551513671875,399.15618392738526,394.1458832024653,395.78718962241436,87287000,0.012139016151538673,0.012065929169864514
2023-05-18,402.3908386230469,402.81316752783374,398.01400205687503,398.234744921799,97177200,0.009633196260628862,0.009587092871059905
2023-05-19,401.80535888671875,403.82101441184767,400.58638129995114,403.29311788250186,103793300,-0.0014550026494927204,-0.0014560621937322325
2023-05-22,401.9685974121094,403.5043365562108,400.5864351115969,401.8246282749285,60745400,0.0004062626885885656,0.0004061801862468218
2023-05-23,397.4573059082031,401.90133808318683,397.06377080135275,400.3271976557855,86383500,-0.011222994863156255,-0.011286447871891231
2023-05-24,394.5778503417969,396.238372422446,393.4164603018304,395.85444497777297,89213700,-0.0072446915017113644,-0.0072710617191058865
2023-05-25,397.9948425292969,399.4442000783956,395.84482546980115,398.0812240048889,90961600,0.008659868222557598,0.008622586644829074
2023-05-26,403.149169921875,403.86904489294824,398.5707756508926,398.6475494260872,93830000,0.012950739159889313,0.012867595416700304
2023-05-30,403.30267333984375,405.60626696953454,401.9205113036728,405.0783704702366,72216000,0.0003807608434329701,0.0003806883724185237
2023-05-31,401.06634521484375,402.3813121326053,399.5018122688516,401.47906649861943,110811800,-0.005545036700303596,-0.0055604674855915664
2023-06-01,404.8768310546875,405.93265339027886,400.04887142591303,401.29664281865877,88865000,0.00950088653736958,0.009456036964891145
2023-06-02,410.7317810058594,411.5188218630449,406.92124253883765,407.4491390116575,91426200,0.014461064457355954,0.014357500500767706
2023-06-05,409.94476318359375,412.36353228842165,409.2440744066445,411.0773593229492,65460200,-0.0019161356843102606,-0.0019179738207451347
2023-06-06,410.8373718261719,411.36526832885664,408.87930404707026,409.53201283462573,64022200,0.0021773875964317124,0.0021750205234599774
2023-06-07,409.4168395996094,412.3635345526036,408.9945106484148,411.2309384070294,85373300,-0.0034576509440906733,-0.0034636424340904475
2023-06-08,411.89324951171875,412.34437231335727,408.71620378018724,409.48405866767195,61952800,0.006048627395324413,0.006030407880432213
2023-06-09,412.63232421875,414.63837227354514,411.6436971048215,412.6899118726264,85742800,0.0017943355660898774,0.0017927276691451317
2023-06-12,416.3756408691406,416.4524439304632,412.89147087099775,413.61134578902306,76104300,0.009071796925938846,0.009030895357250313
2023-06-13,419.12078857421875,419.76386044542505,417.1723282571571,417.8346155400201,95899700,0.00659295942324567,0.0065713209220371336
2023-06-14,419.619873046875,421.4243641568749,416.1740753599218,419.45671780561304,100612100,0.001190789114407842,0.0011900806873860312
2023-06-15,424.8222351074219,426.07000671204355,418.70810151955646,418.8040614185362,110303100,0.01239779713666156,0.01232157380406798
2023-06-16,423.37518310546875,427.3732818174655,422.90312715218045,426.80488011436864,114165800,-0.0034062529744640635,-0.003412067461624641
2023-06-20,421.1785888671875,422.32503554227975,419.1072877770987,421.4387253030806,76160400,-0.005188292384473714,-0.005201798308783655
2023-06-21,419.0205383300781,420.9954934589653,418.43284996744785,420.1958856547502,76982300,-0.005123837237105855,-0.0051370091040546274
2023-06-22,420.533203125,420.6391628765627,417.72970919873376,418.06690464564633,70637200,0.003610001554936515,0.0036035011389670634
2023-06-23,417.35394287109375,419.1362363473925,416.6410372408123,417.084192410939,92074500,-0.007560069526689084,-0.007588791704993094
2023-06-26,415.6487121582031,418.7026693868189,415.40786249787595,416.7855154988048,72823600,-0.004085814311852065,-0.004094184057076794
2023-06-27,420.20556640625,420.82212620155866,416.0725783167209,416.5253768197751,72813700,0.010963234372568964,0.0109035737713221
2023-06-28,420.4175109863281,421.4290677123489,418.509971256602,419.1265310456325,75636000,0.0005043830853805886,0.0005042559269880778
2023-06-29,422.0745849609375,422.2383756741101,419.5986726779713,420.00328366247703,67882300,0.003941496087357832,0.0039337487424018535
2023-06-30,427.05535888671875,428.0380149404403,424.9647708481831,425.2827088718478,104964000,0.01180069614057011,0.011731610897373535
2023-07-03,427.5466613769531,427.82602579498047,426.4291155030701,426.70850932168867,32793400,0.0011504421616792548,0.0011497809102013654
2023-07-05,426.9108581542969,427.6430505530816,425.725867203726,425.7355105986345,58418400,-0.001487096684625211,-0.0014882035103405817
2023-07-06,423.5678405761719,423.991738320798,421.06299828536083,423.3366343156822,80658300,-0.007830715743746053,-0.007861536804356776
2023-07-07,422.4984130859375,426.43873894163033,422.25756345371417,422.57550143257924,86134200,-0.0025248080420355867,-0.002528000744967055
2023-07-10,423.5678405761719,423.7412452715391,421.57359837767063,422.1420000351028,62443500,0.002531198833205739,0.002528000744967138
2023-07-11,426.26531982421875,426.7566624993896,423.3558667490492,424.32890870557475,64463800,0.006368470383345315,0.006348277362923743
2023-07-12,429.695068359375,431.10165159958825,428.6257099376319,430.0515505672172,91924500,0.008046041691992745,0.008013844887786115
2023-07-13,433.10546875,433.89546265173254,431.07271183277675,431.50622355890425,72425200,0.007936792022413153,0.007905461356081882
2023-07-14,432.8357238769531,434.83958003816,432.07463074719146,433.991813962652,69815800,-0.0006228156708004695,-0.0006230097010479354
2023-07-17,434.3386535644531,435.3887545883977,432.64306249429234,432.6912500682276,52680200,0.0034722866080416637,0.003466272139515311
2023-07-18,437.5660095214844,438.2114701147798,433.5775252322227,434.0110663595222,80668200,0.007430505967050305,0.007403035752056122
2023-07-19,438.5390625,439.724023983291,437.48893213427476,438.35601441060516,65891700,0.0022237855714153376,0.002221316619883213
2023-07-20,435.6295471191406,438.44268380742795,434.9166416038705,437.54673021651973,70591600,-0.00663456378155447,-0.006656670332305954
2023-07-21,435.6295471191406,437.54673021651973,435.6199331260899,437.34439535359957,71275600,0.0,0.0
2023-07-24,437.57568359375,438.3849349409323,435.7452026173443,436.77604624077406,54023400,0.004467411559843315,0.004457462297448842
2023-07-25,438.770263671875,440.02267010001805,437.2577208036124,437.3059083742901,55191200,0.002729996484983177,0.002726276812835871
2023-07-26,438.8377380371094,440.26354925381463,436.78569416377627,437.8357951870991,71052900,0.00015378062467075182,0.000153768801642576
2023-07-27,435.92822265625,442.6238546795818,435.02262562113657,442.2192143317386,92194400,-0.006630048258550958,-0.006652124661019395
2023-07-28,440.1961364746094,441.024645224626,435.9282579906258,439.1941936182639,80011800,0.009790404925732021,0.00974278944242649
2023-07-31,441.0342712402344,441.39072403261815,439.35793761574195,440.6681750532694,62040400,0.0019040030027008825,0.0019021926865178038
2023-08-01,439.77215576171875,440.5139620189602,438.81837125887813,439.569820909262,55291500,-0.0028617174691808467,-0.002865820011364691
2023-08-02,433.6546630859375,436.92056940230765,432.903213273274,436.6604623365917,93933400,-0.013910595738343856,-0.01400825479674926
2023-08-03,432.41180419921875,434.29044314301314,430.995607146359,431.6410971149184,64276100,-0.002866010658975515,-0.0028701255315839998
2023-08-04,430.4561462402344,436.3232404604835,429.9359027397443,434.2230384704291,100128900,-0.004522674774353197,-0.004532933009369617
2023-08-07,434.2133483886719,434.3674956833761,431.5929031798807,432.28655130575453,58357500,0.008728420261284064,0.00869054781932798
2023-08-08,432.3251647949219,434.20380401220746,428.9725267488997,431.67967473239247,71361300,-0.004348515771698147,-0.004357998065661029
2023-08-09,429.43487548828125,432.7586120279548,428.6737824515494,432.59482134894097,78789600,-0.00668545239093743,-0.006707900132584153
2023-08-10,429.5890808105469,435.16716703483127,428.42337671620794,431.7856284811605,93005500,0.0003590889586930768,0.00035902450168302124
2023-08-11,429.338623046875,430.3502093181606,427.1228178060312,427.720120293532,68690900,-0.0005830170617915353,-0.000583187082325165
2023-08-14,431.7085876464844,431.7085876464844,428.1151292261153,428.4234238736149,47867400,0.005520035870033135,0.005504856307561882
2023-08-15,426.67962646484375,430.2923712690211,426.1111954097984,429.9358890851779,75707500,-0.011648971842456612,-0.011717352677971818
2023-08-16,423.5485534667969,427.9223617239687,423.44256433778145,426.2653150386881,80107200,-0.007338229443924149,-0.007365286699105093
2023-08-17,420.3211669921875,425.273020314269,419.8009235363625,425.01291328665195,95711300,-0.007619873679635569,-0.007649053241307063
2023-08-18,420.5234680175781,421.5543115245304,417.1612164787308,417.5080258452247,98852000,0.00048130106517896287,0.00048118527697246
2023-08-21,423.259521484375,424.0013277942752,419.38666984217986,421.53502982303786,68719000,0.006506303868592855,0.006485229236161061
2023-08-22,422.113037109375,425.0321333206804,421.5542789285874,425.0321333206804,64994200,-0.002708703093032061,-0.0027123782673928254
2023-08-23,426.8144226074219,427.4310117399543,423.0282736798397,423.1727775700932,68441000,0.011137740568834209,0.0110761726660964
2023-08-24,420.8992004394531,428.92429730681755,420.87027025881116,428.41369725884107,88517300,-0.013859002542211396,-0.013955935152858517
2023-08-25,423.8664245605469,425.14773158497053,419.0783330051314,422.623632306367,102325100,0.007049726200467399,0.007024993053957101
2023-08-28,426.5543518066406,427.1709115909124,423.8664616174519,426.05336574379237,61595400,0.006341448839408681,0.0063214264554182125
2023-08-29,432.7201232910156,432.999517120143,426.26534084235647,426.4483889303442,83081900,0.014454831976887128,0.014351356844956442
2023-08-30,434.50244140625,435.1382880533624,432.3540517986095,433.05734340842935,69053900,0.004118870418318155,0.004110411092180009
2023-08-31,433.8666076660156,436.255817610441,433.6835595621321,435.1190142078131,66084600,-0.001463360569796901,-0.0014644323275818454
2023-09-01,434.6758117675781,437.06505085275637,433.2210704898494,436.5833515582069,58944100,0.001865098828221834,0.0018633616910219766
2023-09-05,432.7972106933594,434.5506033353466,432.72979513066315,434.23269470933957,55166200,-0.004321844057941782,-0.004331210221780315
2023-09-06,429.8877258300781,432.093916863234,427.56593166865076,431.9879277285903,70758500,-0.00672251297234594,-0.006745210844362565
2023-09-07,428.56787109375,429.24223247025344,426.5447281630559,426.8915375451562,70355400,-0.0030702312651044172,-0.003074954094377756
2023-09-08,429.21331787109375,430.74511806057524,428.2595627004295,428.6160154651993,61659700,0.0015060549819017055,0.0015049220184915905
2023-09-11,432.03607177734375,432.344336954817,430.12853215124545,431.8337369226589,60180100,0.006576575769482007,0.006555044445091086
2023-09-12,429.6661682128906,432.11320909412444,429.08815252492514,430.59105211482444,67565400,-0.005485429850113244,-0.00550053006653536
2023-09-13,430.1671142578125,431.3231749266096,428.78943192828973,429.8877204342684,60199300,0.0011658959489537768,0.0011652168200830288
2023-09-14,433.876220703125,434.569868937207,431.3328634452209,432.633457559199,83430800,0.00862247792166082,0.008585516671979187
2023-09-15,428.6487121582031,432.6222625307114,428.2136712808251,432.2935551441486,111848900,-0.012048386833577451,-0.012121556961472987
