snapshot_date,expiry,option_type,strike,bid,ask,last,volume,open_interest,spot,multiplier,mid,spread,quote_valid,invalid_reason,time_to_expiry_days,time_to_expiry,forward,log_moneyness,no_arbitrage_pass,arbitrage_note,iv,iv_error,arb_lower_bound,arb_upper_bound,quality,butterfly_ok
2026-09-04,2026-09-08,put,734.0,0.04,0.05,0.04,250.0,815.0,773.17,100,0.045,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0522967674889294,True,,0.2083539359812672,,0.0,733.6783170863376,good,False
2026-09-04,2026-09-08,call,735.0,37.52,38.81,38.89,6.0,56.0,773.17,100,38.165000000000006,1.2899999999999991,True,,4.0,0.010958904109589,773.4072830881462,-0.0509352968906083,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,38.39045070840552,773.0683295346428,good,True
2026-09-04,2026-09-08,put,735.0,0.04,0.05,0.04,186.0,986.0,773.17,100,0.045,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0509352968906083,True,,0.2035665354293169,,0.0,734.6778788262372,good,True
2026-09-04,2026-09-08,call,736.0,36.57,37.87,28.82,0.0,35.0,773.17,100,37.22,1.2999999999999972,True,,4.0,0.010958904109589,773.4072830881462,-0.0495756773745688,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,37.390888968505806,773.0683295346428,good,False
2026-09-04,2026-09-08,put,736.0,0.04,0.05,0.05,101.0,1781.0,773.17,100,0.045,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0495756773745688,True,,0.1987738988901432,,0.0,735.677440566137,good,True
2026-09-04,2026-09-08,call,737.0,35.57,36.81,32.5,1.0,13.0,773.17,100,36.19,1.240000000000002,True,,4.0,0.010958904109589,773.4072830881462,-0.0482179039141084,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,36.3913272286062,773.0683295346428,good,True
2026-09-04,2026-09-08,put,737.0,0.04,0.05,0.04,5159.0,482.0,773.17,100,0.045,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0482179039141084,True,,0.193975637763375,,0.0,736.6770023060366,good,True
2026-09-04,2026-09-08,call,738.0,34.58,35.81,26.81,0.0,10.0,773.17,100,35.195,1.230000000000004,True,,4.0,0.010958904109589,773.4072830881462,-0.0468619715029725,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,35.3917654887066,773.0683295346428,good,False
2026-09-04,2026-09-08,put,738.0,0.04,0.05,0.05,138.0,769.0,773.17,100,0.045,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0468619715029725,True,,0.1891713438007471,,0.0,737.6765640459362,good,True
2026-09-04,2026-09-08,call,739.0,33.58,34.81,34.98,12.0,7.0,773.17,100,34.195,1.230000000000004,True,,4.0,0.010958904109589,773.4072830881462,-0.0455078751552432,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,34.39220374880688,773.0683295346428,good,True
2026-09-04,2026-09-08,put,739.0,0.04,0.05,0.05,307.0,849.0,773.17,100,0.045,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0455078751552432,True,,0.1843605842188707,,0.0,738.6761257858359,good,True
2026-09-04,2026-09-08,call,740.0,32.58,33.82,33.93,420.0,7.0,773.17,100,33.2,1.240000000000002,True,,4.0,0.010958904109589,773.4072830881462,-0.0441556099052296,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,33.39264200890727,773.0683295346428,good,True
2026-09-04,2026-09-08,put,740.0,0.05,0.06,0.04,3360.0,1250.0,773.17,100,0.055,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.0441556099052296,True,,0.1842029499440718,,0.0,739.6756875257355,good,False
2026-09-04,2026-09-08,call,741.0,31.59,32.82,32.69,576.0,16.0,773.17,100,32.205,1.2300000000000004,True,,4.0,0.010958904109589,773.4072830881462,-0.0428051708073581,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,32.39308026900767,773.0683295346428,good,False
2026-09-04,2026-09-08,put,741.0,0.05,0.06,0.05,83.0,539.0,773.17,100,0.055,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.0428051708073581,True,,0.1792785999966079,,0.0,740.6752492656351,good,True
2026-09-04,2026-09-08,call,742.0,30.59,31.82,31.66,237.0,20.0,773.17,100,31.205,1.2300000000000004,True,,4.0,0.010958904109589,773.4072830881462,-0.0414565529360646,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,31.39351852910795,773.0683295346428,good,True
2026-09-04,2026-09-08,put,742.0,0.05,0.06,0.06,162.0,594.0,773.17,100,0.055,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.0414565529360646,True,,0.1743457158927027,,0.0,741.6748110055348,good,True
2026-09-04,2026-09-08,call,743.0,29.6,30.82,30.62,567.0,82.0,773.17,100,30.21,1.2199999999999989,True,,4.0,0.010958904109589,773.4072830881462,-0.0401097513856858,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,30.393956789208342,773.0683295346428,good,True
2026-09-04,2026-09-08,put,743.0,0.06,0.07,0.07,64.0,914.0,773.17,100,0.065,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0401097513856858,True,,0.173255014359366,,0.0,742.6743727454344,good,False
2026-09-04,2026-09-08,call,744.0,28.6,29.83,29.67,405.0,16.0,773.17,100,29.215,1.2299999999999969,True,,4.0,0.010958904109589,773.4072830881462,-0.0387647612703532,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,29.39439504930874,773.0683295346428,good,True
2026-09-04,2026-09-08,put,744.0,0.06,0.07,0.07,141.0,1203.0,773.17,100,0.065,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0387647612703532,True,,0.1682151085926866,,0.0,743.673934485334,good,True
2026-09-04,2026-09-08,call,745.0,27.61,28.83,28.06,829.0,112.0,773.17,100,28.22,1.2199999999999989,True,,4.0,0.010958904109589,773.4072830881462,-0.0374215777238855,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,28.394833309409023,773.0683295346428,good,False
2026-09-04,2026-09-08,put,745.0,0.06,0.07,0.07,1473.0,1507.0,773.17,100,0.065,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0374215777238855,True,,0.163164137143064,,0.0,744.6734962252337,good,True
2026-09-04,2026-09-08,call,746.0,26.61,27.83,27.14,246.0,14.0,773.17,100,27.22,1.2199999999999989,True,,4.0,0.010958904109589,773.4072830881462,-0.0360801958996842,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,27.39527156950942,773.0683295346428,good,True
2026-09-04,2026-09-08,put,746.0,0.07,0.08,0.07,1406.0,600.0,773.17,100,0.075,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.0360801958996842,True,,0.1613366871986794,,0.0,745.6730579651334,good,False
2026-09-04,2026-09-08,call,747.0,25.62,26.84,27.26,86.0,59.0,773.17,100,26.23,1.2199999999999989,True,,4.0,0.010958904109589,773.4072830881462,-0.0347406109706277,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,26.39570982960981,773.0683295346428,good,False
